日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/21,佐賀,晴,6,C2ー14組, ,10,8,10,12.3,5,10,藤田凌,51,ダ1400,重,**,1:39.0,6.5,**,1-1-2-10, ,47.1,439(+1), , ,セイフケンシロウ, 
2018/01/05,佐賀,曇,8,C2ー15組, ,10,4,4,67.3,8,4,岡村健司,52,ダ1400,良,**,1:33.5,1.6,**,6-6-4-4, ,39.7,438(+3), , ,サーカディアン,1.0
2017/12/24,佐賀,曇,4,C2ー11組, ,12,7,9,70.3,10,9,岡村健司,52,ダ1300,良,**,1:25.7,1.3,**,4-6-5-6, ,40.0,435(-3), , ,クラウンロベルト, 
2017/12/05,佐賀,曇,5,C2ー12組, ,12,1,1,307.2,8,9,岡村健司,52,ダ1400,良,**,1:33.7,3.2,**,11-9-9-9, ,39.3,438(+9), , ,イチザラブ, 
2017/11/23,佐賀,曇,5,C2ー10組, ,11,4,4,230.2,11,11,渡辺博文,54,ダ1400,良,**,1:34.4,2.9,**,9-10-11-11, ,40.1,429(+2), , ,ユミチャンキック, 
2017/11/11,佐賀,晴,5,C2ー10組, ,11,4,4,29.9,8,11,渡辺博文,54,ダ1400,良,**,1:36.1,4.1,**,4-3-5-10, ,43.5,427(-1), , ,アドマイヤゼン, 
2017/10/26,佐賀,晴,5,C2ー10組, ,12,6,7,24.6,6,7,渡辺博文,54,ダ1400,良,**,1:32.6,2.0,**,11-11-11-11, ,39.2,428(+4), , ,フェザーリング, 
2017/10/15,佐賀,雨,5,C2ー10組, ,9,7,7,27.7,8,7,渡辺博文,54,ダ1400,不,**,1:33.8,1.8,**,8-8-8-7, ,38.6,424(0), , ,スイングゴールド, 
2017/09/30,佐賀,晴,5,C2ー8組, ,11,8,11,41.6,6,6,渡辺博文,54,ダ1400,良,**,1:33.8,0.8,**,8-9-8-6, ,39.7,424(+23), , ,ワンダーオマージュ, 
2017/08/13,佐賀,晴,6,サガン鳥栖サマーカー, ,9,8,8,11.7,7,8,渡辺博文,54,ダ1400,良,**,1:34.2,0.9,**,5-5-5-5, ,40.3,401(+3), , ,テンクウマリー, 
