日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/02/08,船橋,晴,4,C3　特選一, ,11,6,7,102.8,11,10,今野忠成,56,ダ1600,稍,**,1:48.9,2.4,**,11-11-11-11,39.7-40.9,41.3,520(+6), , ,ガチセブン, 
2018/01/19,船橋,曇,12,C3　特選一, ,11,4,4,40.1,7,11,今野忠成,56,ダ1600,重,**,1:50.6,4.7,**,6-6-6-8,38.2-40.8,44.5,514(+7), , ,ビービーアルボーレ, 
2018/01/05,川崎,曇,4,布袋尊賞, ,11,7,9,19.6,7,10,今野忠成,56,ダ1400,良,**,1:35.2,2.5,**,3-3-5-8,40.3-40.1,42.0,507(+4), , ,ミオヴァンジェーロ, 
2017/12/07,船橋,晴,7,C2七　八, ,11,4,4,13.6,6,9,今野忠成,56,ダ1500,良,**,1:40.4,3.9,**,11-11-10-10,31.8-40.4,41.8,503(+17), , ,ウィズネイチャー, 
2017/07/24,船橋,曇,8,C2四　五, ,10,6,6,27.7,8,9,今野忠成,56,ダ1500,良,**,1:41.3,2.3,**,8-8-7-7,33.0-40.0,41.5,486(-11), , ,ダイワウィズミー, 
2017/07/05,川崎,曇,6,C2六　七八, ,12,4,4,8.9,4,5,今野忠成,56,ダ1600,重,**,1:48.8,1.5,**,6-6-5-5,38.9-41.1,41.5,497(+8), , ,クロヒゲ,12.0
2017/06/23,船橋,晴,7,C2九　十, ,10,4,4,2.0,1,3,今野忠成,56,ダ1500,重,**,1:40.0,0.3,**,6-6-3-3,33.7-40.3,40.4,489(-6), , ,オーキッドメモリー,20.0
2017/05/04,船橋,晴,3,C3二　三イ, ,11,7,9,5.4,3,1,今野忠成,56,ダ1500,良,**,1:39.6,-0.8,**,6-3-3-2,33.0-40.2,40.1,495(-12), , ,(マイアミノキセキ),80.0
2017/04/14,船橋,晴,3,C3二　三ア, ,12,3,3,17.8,7,4,今野忠成,56,ダ1500,稍,**,1:40.3,0.8,**,8-8-8-8,32.7-40.8,40.9,507(+7), , ,ウインヴァンノ,12.0
2017/03/16,船橋,晴,6,たけ&ゆき∞結婚記念, ,11,2,2,38.6,8,10,今野忠成,56,ダ1600,重,**,1:49.6,2.7,**,8-6-8-9,38.7-41.8,42.9,500(+2), , ,メテオーラビアンカ, 
2017/02/24,浦和,晴,4,C3二　三, ,12,5,5,6.5,4,10,今野忠成,56,ダ1400,良,**,1:32.6,1.1,**,10-8-9-11,37.4-40.8,39.8,498(-2), , ,ケージーモンブラン, 
2017/02/10,船橋,曇,7,C3　特選一, ,10,8,10,5.3,2,7,今野忠成,56,ダ1600,重,**,1:48.8,1.9,**,3-3-4-5,39.0-42.0,43.5,500(-3), , ,カウアイフォンテン, 
2017/01/20,浦和,曇,7,プリムラ賞, ,12,8,11,7.5,5,10,今野忠成,56,ダ1500,稍,**,1:40.5,1.9,**,10-10-11-10,31.1-40.4,41.2,503(+4), , ,アスクワンダフル, 
2017/01/13,船橋,晴,7,東京散歩の会第100, ,11,7,9,4.6,2,10,今野忠成,56,ダ1600,重,**,1:51.2,3.7,**,6-5-7-9,39.1-42.1,44.8,499(-13), , ,ファラオ, 
2016/12/05,船橋,曇,8,C2四, ,12,1,1,6.2,4,5,今野忠成,56,ダ1500,重,**,1:39.6,0.6,**,7-7-6-7,32.8-40.0,40.1,512(+10), , ,クレアーフォンテン,10.0
2016/11/10,船橋,曇,4,C3　特選一, ,13,6,9,2.7,1,1,今野忠成,57,ダ1600,稍,**,1:46.4,-0.2,**,7-8-7-5,39.2-40.4,39.6,502(-5), , ,(ウインアズーリ),90.0
2016/11/03,川崎,晴,2,富士通フロンテック賞, ,12,4,4,3.8,2,1,今野忠成,56,ダ1500,重,**,1:40.1,-0.1,**,7-7-6-5,32.6-41.2,40.4,507(+3), , ,(ツガノサツキ),80.0
2016/09/29,船橋,曇,4,食欲の秋!田久保売店, ,11,1,1,4.5,3,7,今野忠成,56,ダ1600,重,**,1:47.4,3.0,**,7-4-6-7,36.9-41.1,41.6,504(+5), , ,メイショウケンザン, 
2016/09/07,船橋,曇,3,C3　特選一, ,11,8,11,10.3,5,11,今野忠成,56,ダ1600,重,**,1:48.5,3.5,**,3-3-5-7,38.3-40.6,43.9,499(-11), , ,バギー, 
2016/05/05,船橋,晴,7,こどもの日にはかしわ, ,11,2,2,2.8,1,4,今野忠成,56,ダ1500,稍,**,1:39.2,0.7,**,7-7-5-5,32.4-39.9,40.1,510(-2), , ,イーストスパークル,12.0
2016/04/14,船橋,晴,7,C2　十, ,10,6,6,7.1,2,5,今野忠成,56,ダ1500,不,**,1:37.5,1.9,**,9-7-6-6,31.9-38.7,39.4,512(+1), , ,アーミーバローズ,10.0
2016/03/10,船橋,曇,4,C3　特選, ,13,4,5,2.2,1,1,今野忠成,56,ダ1600,不,**,1:44.8,-0.2,**,6-6-4-3,38.8-40.3,39.6,511(+2), , ,(オンワードモンテ),90.0
2016/02/19,船橋,晴,4,C3二　三　イ, ,9,6,6,1.5,1,2,今野忠成,56,ダ1500,稍,**,1:39.3,0.0,**,7-6-5-4,33.7-40.3,39.8,509(-1), , ,セガールフォンテン,24.0
2016/02/05,浦和,晴,4,C3二　三, ,12,8,11,1.4,1,2,今野忠成,56,ダ1400,稍,**,1:31.6,0.0,**,9-7-5-5,38.4-39.8,39.4,510(0), , ,リュウノヘイロー,24.0
2016/01/03,川崎,晴,5,C3四　五六, ,12,7,10,1.8,1,1,今野忠成,56,ダ1500,良,**,1:37.4,-0.7,**,9-9-5-3,30.3-40.7,40.1,510(-2), , ,(ドリームブレイク),80.0
2015/12/11,船橋,曇,8,チバザポークシリーズ, ,10,3,3,2.2,1,4,今野忠成,56,ダ1500,不,**,1:38.4,1.3,**,6-6-3-3,32.1-40.4,41.6,512(+3), , ,ルミナスコマンダー,12.0
2015/11/13,船橋,曇,6,C3二　三　ア, ,9,8,8,1.1,1,1,今野忠成,56,ダ1500,重,**,1:38.3,-0.7,**,3-3-3-3,32.8-39.8,39.5,509(-3), , ,(セガールフォンテン),80.0
2015/10/21,川崎,晴,3,C3三　四, ,11,1,1,1.2,1,1,今野忠成,56,ダ1500,良,**,1:37.5,-0.5,**,9-7-7-3,29.4-42.2,41.0,512(0), , ,(パワースプレンダー),80.0
2015/10/06,船橋,晴,3,バンビ大好き記念, ,12,7,10,1.5,1,1,今野忠成,56,ダ1500,良,**,1:37.1,-1.0,**,7-6-4-3,32.2-39.6,39.0,512(+3), , ,(マンハッタンテルス),80.0
2015/09/09,船橋,雨,4,C3四　五, ,12,2,2,5.2,3,2,今野忠成,56,ダ1500,不,**,1:37.2,0.1,**,10-8-8-6,32.3-39.7,39.1,509(+6), , ,トーアリズム,24.0
2015/08/17,川崎,雨,2,C312　1314, ,11,1,1,3.1,2,1,今野忠成,56,ダ1400,不,**,1:34.4,-0.3,**,8-5-5-2,41.1-40.8,40.1,503(-4), , ,(マイネルエルピス),80.0
2015/08/04,船橋,晴,5,C3四　五ア, ,14,5,7,12.1,3,13,今野忠成,56,ダ1000,良,**,1:03.8,1.9,**,12-12,35.6-38.6,37.9,507(-1), , ,ランローララン, 
2015/07/23,川崎,曇,2,C3五　六七, ,14,4,5,12.7,7,2,今野忠成,56,ダ1500,稍,**,1:38.0,0.2,**,6-5-3-2,30.4-40.9,40.8,508(+1), , ,ラマルティーヌ,24.0
2015/06/30,川崎,曇,3,C3六　七八, ,12,3,3,18.4,6,6,今野忠成,56,ダ1400,良,**,1:34.0,1.7,**,9-7-7-8,39.5-40.2,41.1,507(+3), , ,ネス, 
2015/05/26,浦和,晴,4,C3七　八九, ,11,4,4,13.3,7,10,今野忠成,56,ダ1400,良,**,1:33.7,2.3,**,10-9-10-11,37.8-40.4,40.3,504(+14), , ,サクラレインボー, 
2015/05/05,船橋,曇,3,キャロッタお誕生日記, ,10,6,6,25.8,7,8,繁田健一,56,ダ1200,良,**,1:17.3,1.3,**,10-10-10,37.4-38.6,38.7,490(-9), , ,グランヴァーグ, 
2014/11/27,大井,晴,6,C2　C3　選抜馬, ,14,8,13,16.9,5,9,繁田健一,55,ダ1600,不,**,1:45.9,2.2,**,12-8-8-9,39.4-39.2,40.9,499(+1), , ,ミルノワール, 
2014/11/13,大井,晴,6,C3二　三, ,14,4,6,10.6,4,9,繁田健一,56,ダ1500,良,**,1:38.3,1.6,**,9-10-10-11,31.3-40.8,40.3,498(-2), , ,ヤマトシャトル, 
2014/10/23,大井,曇,4,C3　3歳　選抜馬, ,12,8,12,14.6,5,12,繁田健一,56,ダ1500,不,**,1:40.1,2.8,**,10-9-11-11,32.6-39.6,41.4,500(+9), , ,クラシックセーラ, 
2014/05/11,大井,晴,4,カーネーション特別競, ,12,4,5,24.3,8,6,繁田健一,56,ダ1700,良,**,1:49.5,1.2,**,6-6-7-7,31.4-40.0,38.3,491(-5), , ,ガスタンク, 
2014/04/24,大井,晴,7,C212　13, ,14,4,6,14.2,6,6,繁田健一,56,ダ1600,良,**,1:44.5,0.8,**,5-5-5-6,38.5-39.7,40.1,496(-1), , ,モンサンデューン, 
2014/04/04,大井,曇,8,C215　1617, ,14,8,13,3.8,2,7,繁田健一,56,ダ1600,重,**,1:45.1,1.9,**,11-11-13-13,37.9-40.1,40.6,497(+1), , ,デビルシニスタ, 
2014/03/14,大井,曇,9,C213　1415, ,13,5,7,2.6,1,8,繁田健一,56,ダ1600,不,**,1:46.3,1.5,**,6-6-7-5,39.3-40.1,41.3,496(-5), , ,オチャノコサイサイ, 
2014/02/27,大井,曇,3,C3四　五六, ,14,2,2,3.3,2,1,繁田健一,56,ダ1600,良,**,1:45.2,0.0,**,6-7-6-6,39.2-40.8,40.3,501(+3), , ,(アエノテンザン),80.0
2014/02/03,大井,曇,7,C311　1213, ,14,3,4,2.7,1,1,繁田健一,56,ダ1500,良,**,1:38.8,-0.2,**,4-3-5-4,32.9-40.4,40.1,498(-3), , ,(デンエン),80.0
2014/01/20,大井,晴,7,C314　15, ,15,2,2,1.3,1,2,繁田健一,56,ダ1600,良,**,1:45.9,0.0,**,8-8-7-7,38.3-41.6,41.0,501(0), , ,チチャリート,24.0
2013/12/27,大井,曇,7,3歳　75万, ,11,7,8,1.8,1,2,繁田健一,56,ダ1500,重,**,1:39.4,0.3,**,5-5-4-3,32.4-41.5,41.4,501(+5), , ,リンピッドドラゴン,30.0
2013/11/25,大井,曇,3,3歳　95万, ,11,7,8,2.8,1,3,繁田健一,56,ダ1500,良,**,1:38.3,0.3,**,3-3-2-1,32.6-39.7,40.0,496(-2), , ,マグワイヤ,18.0
2013/11/04,大井,雨,5,みなとハナミズキ賞競, ,14,7,11,9.8,4,4,繁田健一,56,ダ1200,不,**,1:17.1,2.2, ,9-7,36.1-38.8,40.0,498(0), , ,ソウルキング,12.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/28,5阪神9,曇,9,春待月賞(1000万下),,16,3,6,30.3,9,10,秋山真一,56,ダ1400,稍,**,1:25.4,1.9,**,3-3,34.6-37.0,38.6,494(-6),, ,サクセスエナジー, 
2017/12/09,5阪神3,晴,7,3歳上500万下,,16,7,14,7.5,4,1,秋山真一,56,ダ1400,良,**,1:25.5,0.0,**,3-3,34.5-38.5,38.2,500(-10),, ,(キーネットワーク),750.0
2017/11/12,5京都4,晴,12,3歳上500万下,,17,2,3,24.5,11,12,アッゼニ,56,芝1600,良,**,1:36.4,1.1,**,7-13,36.2-34.8,35.4,510(-2),,,アドマイヤリアル, 
2017/10/28,4京都8,小雨,7,3歳上500万下,,17,1,2,14.3,6,5,シュタル,55,芝1600,稍,**,1:36.1,0.6,**,4-4,34.8-36.7,36.3,512(+10),, ,ロライマ,75.0
2017/05/14,2東京8,曇,6,3歳500万下,,14,6,10,13.9,7,3,浜中俊,56,芝1400,稍,**,1:22.6,0.4,**,4-6,34.8-35.2,35.1,502(-2),, ,アルミレーナ,180.0
