name,age,evaluation,venue,race_name,heads,horsenumber,popularity,horseman,distance,course_status,horse_weight,horse_weight_ratio,winning_percentage,order
アイアンクロー,3,3.50,5阪神6,朝日フューチュリティ(G1),16,13,16,酒井学,1600,良,436,+8,0.6,0
アイアンクロー,3,3.50,2小倉12,小倉2歳S(G3),18,14,5,浜中俊,1200,良,430,+4,0.6,1
アイオシルケン,6,0.00,5京都8,ラジオN杯京都2歳S(G3),8,8,7,和田竜二,2000,稍,464,0,0.263157894737,0
アイトーン,3,0.00,5京都7,ラジオN杯京都2歳S(G3),9,4,7,国分恭介,2000,良,474,-6,0.4,0
アイファープリティ,5,0.00,2阪神1,毎日杯(G3),10,7,8,池添謙一,1800,良,434,+4,0.421052631579,0
アイライン,6,3.33,2東京7,京王杯スプリングC(G2),16,14,11,吉田豊,1400,良,444,-4,0.37037037037,0
アイライン,6,3.33,2阪神5,サンスポ杯阪神牝馬S(G2),13,5,11,松山弘平,1600,良,448,+6,0.37037037037,0
アイライン,6,3.33,門別,エーデルワイス賞〔J(G3),16,13,13,水野翔,1200,稍,440,-2,0.37037037037,0
アウェイク,5,3.92,2東京10,優駿牝馬(G1),18,2,13,吉田豊,2400,良,458,+6,0.357142857143,0
アウェイク,5,3.92,2東京2,サンスポ賞フローラS(G2),18,6,13,吉田豊,2000,良,452,-2,0.357142857143,1
アウォーディー,8,3.84,1東京8,フェブラリーS(G1),16,4,7,武豊,1600,良,516,+2,0.615384615385,0
アウォーディー,8,3.84,川崎,川崎記念【指定交流】(G1),10,3,3,武豊,2100,稍,514,+6,0.615384615385,1
アウォーディー,8,3.84,4中京2,チャンピオンズC(G1),15,11,4,武豊,1800,良,508,+4,0.615384615385,0
アウォーディー,8,3.84,大井,JBCクラシック競走(G1),13,1,1,武豊,2000,重,504,-7,0.615384615385,0
アウォーディー,8,3.84,大井,帝王賞競走(G1),16,2,1,武豊,2000,重,511,0,0.615384615385,1
アウォーディー,8,3.84,大井,東京大賞典競走(G1),14,8,1,武豊,2000,重,511,-3,0.615384615385,1
アウォーディー,8,3.84,4中京2,チャンピオンズC(G1),15,2,1,武豊,1800,良,514,+10,0.615384615385,1
アウォーディー,8,3.84,川崎,JBCクラシック(G1),14,9,2,武豊,2100,重,504,-6,0.615384615385,1
アウォーディー,8,3.84,船橋,日本テレビ盃(G2),13,10,1,武豊,1800,重,510,+4,0.615384615385,1
アウォーディー,8,3.84,2阪神7,アンタレスS(G3),16,9,1,武豊,1800,良,506,+4,0.615384615385,1
アウォーディー,8,3.84,名古屋,名古屋大賞典(G3),12,2,1,武豊,1900,良,502,-6,0.615384615385,1
アウォーディー,8,3.84,4阪神8,シリウスS(G3),12,2,3,武豊,2000,稍,508,+8,0.615384615385,1
アウォーディー,8,3.84,2東京12,目黒記念(G2),16,11,2,横山典弘,2500,良,506,+8,0.615384615385,0
アウォーディー,8,3.84,2東京3,テレビ東京杯青葉賞(G2),18,13,10,松山弘平,2400,良,500,+8,0.615384615385,0
アウトライアーズ,4,3.73,1中山1,日刊スポ賞中山金杯(G3),17,4,7,蛯名正義,2000,良,506,+2,0.555555555556,0
アウトライアーズ,4,3.73,2東京6,NHKマイルC(G1),18,3,4,田辺裕信,1600,良,480,0,0.555555555556,0
アウトライアーズ,4,3.73,3中山8,皐月賞(G1),18,6,7,田辺裕信,2000,良,480,-2,0.555555555556,0
アウトライアーズ,4,3.73,2中山7,フジTVスプリングS(G2),11,8,2,田辺裕信,1800,良,482,0,0.555555555556,1
アヴニールマルシェ,6,3.93,2新潟12,新潟記念(G3),18,17,4,北村宏司,2000,稍,502,+14,0.4,0
アヴニールマルシェ,6,3.93,2東京6,NHKマイルC(G1),18,1,5,北村宏司,1600,良,488,-4,0.4,0
アヴニールマルシェ,6,3.93,1東京6,共同通信杯(G3),12,3,2,北村宏司,1800,良,492,-6,0.4,0
アヴニールマルシェ,6,3.93,5東京7,東京スポーツ杯2歳S(G3),13,2,1,北村宏司,1800,良,498,+4,0.4,1
アヴニールマルシェ,6,3.93,2新潟10,新潟2歳S(G3),18,7,1,北村宏司,1600,良,494,+6,0.4,1
