

エアアルマス(USA),マジェスティックウォリアー(USA),Nokaze(USA)
エアアンセム,シンボリクリスエス(USA),エアマグダラ
エアウィンザー,キングカメハメハ,エアメサイア
エアヴェイユ,ハードスパン(USA),エアマグダラ
エアエマイユ,ジャングルポケット,エアマグダラ
エアオブザドラゴン(GB),Medicean(GB),Regal Riband(GB)
エアカーディナル,ゴールドアリュール,エアセイレン
エアシャマール(USA),Giant's Causeway(USA),Chez La Femme(USA)
エアシンフォニー,ルーラーシップ,エアデジャヴー
エアシーラン,デュランダル,エアセイレン
エアスピネル,キングカメハメハ,エアメサイア
エアセリーナ,キングズベスト(USA),エアマグダラ
エアニューゲート,ルーラーシップ,エアワンピース
エアハンコック,キングカメハメハ,エアワンピース
エアブライス,ハービンジャー(GB),ビスクドール
エアマエル,ワークフォース(GB),エアパスカル
エアマデレーン,ゴールドアリュール,エアセイレン
エアマニング,サクラプレジデント,エアヴァレナ
エアラコメット,ルーラーシップ,クッキーチャン
エアルコンクエスト,メイショウボーラー,アッフェルバンダム
エアルシアン,ジャングルポケット,スロージンフィズ
エアルプロン,ディープインパクト,エアデジャヴー
エアワイバーン,ハービンジャー(GB),ネオイリュージョン
エアーウェーブ,ホワイトマズル(GB),ユーワゼフィルス
エアーシャンクス,アッミラーレ,ポーカーアリス
エイカイオリンピア,ハーツクライ,メジロジョーンズ
エイカイキング,キングカメハメハ,エミーズスマイル
エイカイビクトリア,オルフェーヴル,イグジビットワン(USA)
エイカイマドンナ,ハーツクライ,マチカネハヤテ
エイコウノカケハシ,アサクサデンエン(GB),シルキーリゾート
エイコオレクレール,ゴールドアリュール,ホクトブルーバード
エイコーノユメ,グラスワンダー(USA),エイコークック
エイコーメガミ,アドマイヤドン,エイコークック
エイコーン,フリオーソ,ラメント
エイジヤ,ハイアーゲーム,ノーブルサンライズ
エイシンアシュラ(USA),Tale of Ekati(USA),Smart Soul
エイシンアトラス,ゼンノロブロイ,エイシンセーリング(USA)
エイシンアトロポス,ヨハネスブルグ(USA),エイシンシャロン(USA)
エイシンアルマイト,エンパイアメーカー(USA),エーシンマーメイド
エイシンイザナミ,シンボリクリスエス(USA),エーシンアマテラス(USA)
エイシンイッサ,エーシンフォワード(USA),エイシンサンサン
エイシンイッテン,ディープスカイ,アーリントンガール(USA)
エイシンイパネマ,ディープインパクト,エーシンサーフィン
エイシンイヒラニ,キングカメハメハ,エイシンルンナ
エイシンイースト,マンハッタンカフェ,バーモントガール(USA)
エイシンヴァラー,サウスヴィグラス(USA),エーシンラージシー
エイシンヴィーヴォ,サウスヴィグラス(USA),バーリンスワン(USA)
エイシンウェルズ,ローエングリン,エーシンスペリアー(GB)
エイシンエディソン,ヴァーミリアン,エーシンヘラ(FR)
エイシンエポカル,キンシャサノキセキ(AUS),エポカローザ(USA)
エイシンエルヴィン(IRE),Shamardal(USA),La Ina(GER)
エイシンエルパソ,ダノンシャンティ,メンフィスガール(USA)
エイシンエレガンス,ハービンジャー(GB),エイシンルーデンス
エイシンエレナ,ハービンジャー(GB),エーシンマリポーサ(USA)
エイシンエンジョイ,サウスヴィグラス(USA),エーシンジョイフル
エイシンエンデバー,ヴィクトワールピサ,サーソーラ(FR)
エイシンエンドレス,スウェプトオーヴァーボード(USA),エイシンラブソング
エイシンエーブル,キンシャサノキセキ(AUS),キャントンガール(USA)
エイシンエール,エーシンフォワード(USA),エーシンチェロキー
エイシンカオス,ゴールドアリュール,エーシンフラクタル(USA)
エイシンカモメ,ワイルドラッシュ(USA),エイシンホリデイ
エイシンカリバーン(USA),Ghostzapper(USA),Perfect Moment(USA)
エイシンガリレイ(IRE),Galileo(IRE),Adoration(USA)
エイシンカーニバル,サウスヴィグラス(USA),エーシンアマゾーン
エイシンギガント,シンボリクリスエス(USA),エーシンフラクタル(USA)
エイシンキサナドゥ(USA),Distorted Humor(USA),River's Prayer(USA)
エイシンキティー,ジャングルポケット,エーシンチェロキー
エイシンキラウエア,エイシンデピュティ,エーシンラージェス(USA)
エイシングラニ,タニノギムレット,マシロンガール(USA)
エイシンクリオネ,エイシンアポロン(USA),エイシンビーナス
エイシンクリック,ルーラーシップ,エイシンサンサン
エイシンクリッパー(IRE),Canford Cliffs(IRE),カルネージュ(IRE)
エイシンクレイオー,ヴァーミリアン,エーシンブルバード
エイシンクーポン,マツリダゴッホ,エイシンフォーティ(USA)
エイシンサブウェイ,マンハッタンカフェ,エーシンベタラネリ(USA)
エイシンサワー,スニッツェル(AUS),スイートプラド(USA)
エイシンジェシー,ダノンシャンティ,エーシンリードオー(USA)
エイシンシエル,スウェプトオーヴァーボード(USA),エイシンシャロン(USA)
エイシンジェームズ,マツリダゴッホ,エーシンオーレ
エイシンジャドゥー(USA),Tiznow(USA),Memories of Silver(USA)
エイシンシャルル,マーベラスサンデー,アルカイックレディ(USA)
エイシンシュローダ,キングヘイロー,エーシンスポール
エイシンジラーフ,エーシンフォワード(USA),エーシンシークルー(USA)
エイシンシルキー,コンデュイット(IRE),サンファンガール(USA)
エイシンジンセイ,アドマイヤムーン,エイシンジョアンナ
エイシンシンタ,ジャングルポケット,エイシンフォーティ(USA)
エイシンシーリング,キングカメハメハ,エーシンラージシー
エイシンジーン(IRE),Sea The Stars(IRE),ケルヴィテッセ(GB)
エイシンスパルタン(USA),Zensational(USA),Lady Tak(USA)
エイシンスパンキー,ダイワメジャー,エーシンサーフィン
エイシンスピンドル,ジャングルポケット,エーシンスピニング
エイシンスプリーム,サウスヴィグラス(USA),エーシンプリーマ
エイシンスペーシア,ゼンノロブロイ,マシロンガール(USA)
エイシンスペード,エイシンアポロン(USA),エーシンフラクタル(USA)
エイシンスリーエス,シンボリクリスエス(USA),ヒューストンガール(USA)
エイシンスレイマン,ディープインパクト,エーシンスペリアー(GB)
エイシンセドリック,エイシンデピュティ,エーシンベタラネリ(USA)
エイシンセラード,カネヒキリ,エーシンアマゾーン
エイシンセルジオ,エイシンアポロン(USA),エイシンオラトリオ
エイシンセレブ,エーシンフォワード(USA),エーシンロンシャン(USA)
エイシンセレーネ,マンハッタンカフェ,ミスティコンクエスト(IRE)
エイシンソニック,シンボリクリスエス(USA),エイシンオキザリス(USA)
エイシンタオ,キングカメハメハ,レマーズガール(USA)
エイシンダカール,エイシンデピュティ,エイシンルンナ
エイシンダノニー,エンパイアメーカー(USA),ダノニー
エイシンタルトゥ(USA),Henrythenavigator(USA),ストーミーレニー(USA)
エイシンダンサー,ハーツクライ,メンフィスガール(USA)
エイシンターザン,キングカメハメハ,エイシンリーズン
エイシンタービン,ネオユニヴァース,エーシントゥルボー(USA)
エイシンチムニー,シンボリクリスエス(USA),エイシンリンデン(USA)
エイシンツリー,ファスリエフ(USA),エーシンカリーナ
エイシンティラノ,ダイワメジャー,フェアリースワン(USA)
エイシンティンクル,ディープインパクト,キャタリナ(USA)
エイシンテキサス(USA),Speightstown(USA),Stylish Wildcat(USA)
エイシンデジタル,アグネスデジタル(USA),エーシンカルメン(USA)
エイシンテネア,エイシンデピュティ,アーリントンガール(USA)
エイシンデネブ,ロードカナロア,スワン
エイシンデルシー,ダノンシャンティ,クレバースランチェ(IRE)
エイシンデルフィー,エイシンアポロン(USA),エーシンピュリティ
エイシンテルマエ,タイキシャトル(USA),スペシャルウィーン
エイシンテースティ,ダイワメジャー,エーシンリターンズ
エイシンドルチェ,エイシンデピュティ,エイシンテンダー
エイシンナセル,ネオユニヴァース,エーシンラクーリエ
エイシンニシパ,ワイルドラッシュ(USA),エーシンカリーナ
エイシンニトロ(USA),Proud Citizen(USA),El Fasto(USA)
エイシンニバリキ,アドマイヤマックス,エーシンマンターナ
エイシンネイティヴ,ヴァーミリアン,サクラメントガール(USA)
エイシンネッケツ,ストーミングホーム(GB),エーシンスポール
エイシンネメシス,キングヘイロー,エーシングリフォン(USA)
エイシンパサート,エイシンデピュティ,マシロンガール(USA)
エイシンハヤテ,ハーツクライ,エーシントゥーゴー(USA)
エイシンパライソ(USA),Zensational(USA),Champagne Royale(USA)
エイシンバランサー(CAN),Ghostzapper(USA),Mayomast(USA)
エイシンヒアゴーズ,ファルブラヴ(IRE),エーシントゥーゴー(USA)
エイシンピカソ(USA),Drosselmeyer(USA),R Lady Joy(USA)
エイシンピクシー,エイシンデピュティ,エイシンフェアリー
エイシンビジョン(USA),Lonhro(AUS),Christine Daae(USA)
エイシンピスト,マンハッタンカフェ,エーシンスペリアー(GB)
エイシンピュティア,エイシンアポロン(USA),トレダンス(FR)
エイシンピラウトル,ジャングルポケット,ヒューストンガール(USA)
エイシンビリケン(USA),Here Comes Ben(USA),Thundersnow(USA)
エイシンビワウタ,キングカメハメハ,エーシンシルビア
エイシンビンゴ,Poet's Voice(GB),ベラプラティナ(GER)
エイシンヒート(USA),ストリートセンス(USA),Script(USA)
エイシンファイヤー,ゼンノロブロイ,エイシンフォーティ(USA)
エイシンフェーム,バゴ(FR),エーシンラクーン
