

ドアトゥブリス,グランプリボス,スイートスズラン
トイトイトイ,メイショウボーラー,チャンピオンダイヤ
トイトイブルース,ロジユニヴァース,マーズプリンセス
トイミサキ,マヤノトップガン,ヒシレーシー
ドゥアイドゥ,ゴールドアリュール,ユーオーミー
トゥインクルカラー,クロフネ(USA),キウィカラー(NZ)
トゥイーディア,ハービンジャー(GB),ラナンキュラス
ドゥエベリーニ,マンハッタンカフェ,フレンチカクタス
ドゥエルインハート,タイキシャトル(USA),ジューンブライド
ドヴェルグ,ネオユニヴァース,アラマサダンサー
ドゥエンデ,ディープブリランテ,ミヤコレッドローズ
ドゥオーモ,ディープインパクト,アスクコマンダー
トウカイアゼリア,ダノンシャンティ,トウカイファイン
トウカイアルバ,ハービンジャー(GB),トウカイファミリー
トウカイヴィオラ,アイルハヴアナザー(USA),トウカイオスカー
トウカイエクレール,ジャングルポケット,トウカイウェーブ
トウカイエポナ,ハービンジャー(GB),トウカイポピー
トウカイエントリー,マーベラスサンデー,シュルードレディ(USA)
トウカイエンプレス,ハーツクライ,トウカイロータス
トウカイオルデン,ハーツクライ,トウカイミステリー
トウカイガンバ,マイネルラヴ(USA),トウカイローレル
トウカイクルーク,エンパイアメーカー(USA),トウカイティアラ
トウカイクローネ,オレハマッテルゼ,アイペイバック
トウカイシェーン,ダイワメジャー,トウカイポピー
トウカイシュテルン,ストリートセンス(USA),トウカイセレブ
トウカイジュリア,タートルボウル(IRE),トウカイマーチ
トウカイシーカー,フリオーソ,トウカイレジーナ
トウカイストラーダ,ジャングルポケット,トウカイマーチ
トウカイパイロ,パイロ(USA),トウカイラブ
トウカイパシオン,ヨハネスブルグ(USA),トウカイポプリ
トウカイハッピー,ワークフォース(GB),ローズシティ
トウカイバレット,ネオユニヴァース,オータムブリーズ
トウカイビヨンド,ゴールドアリュール,トウカイデンヒル
トウカイフィーバー,エンパイアメーカー(USA),トウカイポプリ
トウカイフェスタ,トウカイテイオー,トウカイデンヒル
トウカイフォーゲル,トウカイテイオー,トウカイパステル
トウカイプリーズ,ファンタスティックライト(USA),トウカイラブ
トウカイベリンダ,ハーツクライ,トウカイオスカー
トウカイボヌール,メイショウサムソン,トウカイファミリー
トウカイボーイ,キンシャサノキセキ(AUS),ダーリングベリー
トウカイマインド,ゴールドアリュール,トウカイデンヒル
トウカイメジャー,ダイワメジャー,トウカイミステリー
トウカイメール,タイキシャトル(USA),トウカイウェーブ
トウカイララバイ,パイロ(USA),トウカイロゼット
トウカイリオナ,ケイムホーム(USA),トウカイパフィー
トウカイレジェンド,トウカイテイオー,サマーディザイア
トウカイレーヌ,ディープインパクト,トウカイミステリー
ドウカンヤマ,サウスヴィグラス(USA),グラッドリー
トウキョウコール,フリオーソ,タップダンス
トウキョウタフガイ,キングカメハメハ,リュートフルシティ
トウキョウムテキ,ヴァーミリアン,ツルマルダンサー
トゥクトゥクボーイ,ダノンシャンティ,レッツグルーヴ
トウケイアインマル,ゴールドヘイロー,トウケイルーブル
トウケイアロー,オンファイア,グリーンサンライズ
トウケイイダテン,タニノギムレット,マリエッタ
トウケイウルフ,サムライハート,フォーティマジック
トウケイエース,キングカメハメハ,ディナーパーティ(IRE)
