

ボアヴィスタ,ロードカナロア,アビ(GB)
ポアンカレ,サムライハート,ホッジポッジ
ホイアン,トーセンホマレボシ,レインボーフェロー
ホイストポイント,トーホウエンペラー,スピードビウ
ポイズンピル,ブラックタキシード,ネヴァゾンターク
ボイセンベリー,ベーカバド(FR),ジェベルロバーツ
ホイッスルベルン,キングヘイロー,リリカルホイッスル
ポインテッドラン,プリサイスエンド(USA),レイクウッド
ポイントオブエイム,ロージズインメイ(USA),ビビアンアロー
ポイントパイパー,コマンズ(AUS),ラッシュカッター(IRE)
ポイントプラス,グラスワンダー(USA),ベネチアンテンズ
ポイントブランク,Ghostzapper(USA),ポイントアシュリー(USA)
ホイールバーニング,ヴィクトワールピサ,ピサノグレース
ホウオウウィング,ルーラーシップ,エイシンオーガスタ
ホウオウカーニバル,マツリダゴッホ,ザッツザウェイ
ホウオウサファイア,サウスヴィグラス(USA),ワンモアヒット
ホウオウサブリナ,ルーラーシップ,トラヴェシーア
ホウオウサマンサ,オルフェーヴル,タニノカリス
ホウオウサンダー,ゴールドアリュール,ヤマノオーロラ
ホウオウサンドラ,ヘニーヒューズ(USA),ヒカルマイゴール
ホウオウシックス,オルフェーヴル,タニノローゼ
ホウオウジャッジ,マンハッタンカフェ,フサイチジェット(USA)
ホウオウシャロン,エイシンフラッシュ,ホットレディ
ホウオウジャンプ,ハービンジャー(GB),スワンキーポーチ
ホウオウスクラム,アイルハヴアナザー(USA),クラックコード
ホウオウステップ,ハービンジャー(GB),オルトリンデ
ホウオウドリーム,ルーラーシップ,メジロドーベル
ホウオウパフューム,ハーツクライ,マチカネタマカズラ(USA)
ホウオウファースト,ファスリエフ(USA),ウインヴァネッサ
ホウオウブーケ,メイショウボーラー,クレイステルス
ホウオウマリリン,ダイワメジャー,クーデンビーチ(IRE)
ホウオウレックス,ダノンシャンティ,クリスマスツリー
ホウザンキングダム,エイシンデピュティ,ホウザングラマー
ホウショウナウ,ゴールドアリュール,ホウショウルビー(USA)
ホウショウバレン,ネオユニヴァース,ホウショウルビー(USA)
ホウショウブレット,ロージズインメイ(USA),ホウショウワールド(USA)
ボウゼノキョウ,パイロ(USA),パールスノー
ボウソウマッスル,アドマイヤマックス,バレイブランシュ
ボウパラディ,ハーツクライ,ラストリゾート
ボウマンミル,Street Cry(IRE),ファダラン(USA)
ホウヨウカルチャー,ベーカバド(FR),シャンハイハピネス
ホウヨウジーナス,トランセンド,マイディアダーリン
ホウヨウバルキリー,スターリングローズ,カラーガード
ホウライクィーン,タニノギムレット,ホウライマドンナ
ホウライジェンヌ,サウスヴィグラス(USA),ホウライトキメキ
ホウライシップ,アッミラーレ,ホウライトキメキ
