日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/20,1京都6,晴,5,3歳未勝利,,16,7,13,4.7,3,1,幸英明,54,芝1600,稍,**,1:36.9,-0.2,**,3-3,35.8-36.3,36.0,436(-4),, ,(クリノフラッシュ),500.0
2017/12/17,5阪神6,晴,5,2歳新馬,,10,6,6,8.1,3,2,幸英明,54,芝1800,良,**,1:49.7,0.1,**,5-7,37.9-33.8,33.6,440(0),, ,ギベオン,280.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/10,5阪神4,晴,8,3歳上500万下,,14,6,9,133.5,11,11,川島信二,56,芝1800,良,**,1:49.3,1.2,**,14-12,36.5-33.4,33.7,474(-10),, ,エルプシャフト, 
2017/11/25,5京都7,晴,8,3歳上500万下,,18,6,12,82.3,13,16,アッゼニ,55,芝1800,良,**,1:50.2,1.8,**,10-10,36.6-35.0,36.2,484(-6),, ,インヘリットデール, 
2017/07/23,2函館6,晴,8,3歳上500万下,,13,6,9,9.2,5,8,坂井瑠星,53,芝1800,良,**,1:50.8,1.0,**,10-12-12-11,37.3-35.6,35.5,490(+6),, ,クリノサンスーシ, 
2017/07/09,2函館2,晴,9,3歳上500万下,,12,1,1,9.9,6,7,坂井瑠星,53,芝2000,良,**,2:00.3,0.5,**,4-4-3-4,35.5-35.7,35.9,484(-4),, ,スティッフェリオ, 
2017/06/18,1函館2,晴,6,3歳未勝利,,16,4,7,3.9,1,1,坂井瑠星,54,芝1800,良,**,1:48.9,-0.1,**,5-4-5-5,36.6-35.6,35.2,488(-6),, ,(ラストプライドワン),500.0
2017/05/14,1新潟6,晴,5,3歳未勝利,,16,2,3,14.3,5,3,坂井瑠星,54,芝1600,稍,**,1:34.9,0.2,**,12-14,35.0-36.0,34.5,494(+2),, ,モレッキ,130.0
2017/02/26,1阪神2,晴,5,3歳未勝利,,11,2,2,4.4,2,7,川島信二,56,芝2400,良,**,2:31.7,1.5,**,7-7-8-7,37.1-35.8,36.9,492(0),, ,ワラッチャウヨネ, 
2017/02/05,2京都4,小雨,6,3歳新馬,,15,6,11,26.5,7,2,川島信二,56,芝2000,重,**,2:07.7,0.7,**,13-13-9-9,37.9-36.9,36.8,492(0),, ,レイトブルーマー,240.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/12/17,5阪神6,晴,10,元町S(1600万下),,17,4,7,4.4,2,1,和田竜二,55,芝1600,良,**,1:33.8,-0.2,**,13-13,35.5-34.3,33.3,454(-2),,,(ティソーナ),"1,856.4"
2017/11/18,5東京5,曇,10,ユートピアS(1600万下),,13,4,5,4.0,2,4,福永祐一,55,芝1600,良,**,1:34.9,0.2,**,7-8,36.7-33.7,33.1,456(0),, ,レッドアヴァンセ,270.0
2017/09/10,4阪神2,晴,10,西宮S(1600万下),,8,4,4,1.7,1,2,川島信二,55,芝1800,良,**,1:46.6,0.1,**,8-5,37.1-32.8,32.5,456(+4),,,ジョルジュサンク,734.8
2017/06/24,3阪神7,晴,11,垂水S(1600万下),,9,3,3,5.4,3,5,川島信二,55,芝1800,良,**,1:45.3,0.8,**,6-5,35.9-33.5,33.8,452(-2),,,シルバーステート,182.0
2017/05/06,3京都5,曇,10,パールS(1600万下),,11,4,4,3.2,1,1,川島信二,55,芝1800,良,**,1:46.1,-0.2,**,8-7,35.1-35.4,33.5,454(+12),,,(レッドアヴァンセ),"1,844.5"
2017/04/16,2阪神8,晴,11,難波S(1600万下),,13,5,6,3.4,2,2,川島信二,55,芝1800,良,**,1:46.0,0.1,**,6-4,36.3-34.1,33.6,442(+2),,,ハクサンルドルフ,738.4
2017/03/05,1阪神4,晴,9,武庫川S(1600万下),,12,1,1,2.4,1,4,川島信二,53,芝1600,良,**,1:33.3,0.2,**,12-9,35.4-34.2,33.1,440(0),,,タイセイサミット,270.0
2017/02/04,1東京3,晴,11,初音S(1600万下),,11,1,1,4.0,2,3,川島信二,54,芝1800,良,**,1:46.9,0.2,**,10-11-8,36.0-33.9,33.4,440(-8),,,フロンテアクイーン,463.6
2016/10/16,4京都5,晴,11,秋華賞(G1),,18,7,14,20.3,7,8,川島信二,55,芝2000,良,**,1:59.3,0.7,**,10-11-14-13,35.8-34.4,33.8,448(0),, ,ヴィブロス, 
2016/09/24,4阪神5,曇,10,夕月特別(1000万下),,12,8,11,3.0,1,1,川島信二,52,芝1800,稍,**,1:48.0,-0.2,**,7-5,36.7-33.6,33.4,448(+4),, ,(ギモーヴ),"1,528.7"
2016/09/11,4阪神2,晴,12,3歳上500万下,,18,5,10,12.1,4,1,川島信二,52,芝1800,良,**,1:45.7,-0.6,**,10-7,35.3-34.2,33.5,444(0),,,(クリノラホール),750.0
2016/07/24,3中京8,曇,12,3歳上500万下,,18,7,15,14.4,6,7,秋山真一,52,芝1400,良,**,1:21.8,0.6,**,18-18,33.7-36.0,34.6,444(-6),,,ラクアミ, 
2016/07/10,3中京4,晴,7,3歳上500万下,,13,6,8,7.7,4,4,秋山真一,52,芝1600,重,**,1:35.6,0.4,**,9-7-7,36.0-35.0,34.9,450(+2),,,シンダーズ,110.0
2016/05/29,3京都12,小雨,11,白藤賞(500万下),,14,7,11,20.6,7,5,藤岡佑介,54,芝1600,良,**,1:35.3,0.3,**,6-8,35.6-34.5,34.4,448(+4),,,ビナイーグル,100.0
