

オアシスクイーン,シニスターミニスター(USA),リッピアピンク
オアハカ,キングズベスト(USA),グワダラハラ(GER)
オイチ,シンボリクリスエス(USA),ケージーフジムスメ
オイデ,エイシンフラッシュ,カネスヴィバーチェ
オイヌサマ,キンシャサノキセキ(AUS),セイカシリアス
オイランドウチュウ,スターリングローズ,ダイメイジュエリー
オイルタウン,タイムパラドックス,スーパーオアシス
オウガ,クロフネ(USA),チャンピオンダイヤ
オウケノヒメミコ,ヴァーミリアン,シネマライン
オウケンヴィクトリ,オウケンブルースリ,リーチトゥピース(USA)
オウケンキング,キングカメハメハ,メロウメロディ
オウケンゴールド,ワイルドラッシュ(USA),ワイエムサチ
オウケンシスター,ジャングルポケット,シルバージョイ(CAN)
オウケンジョーカー,トーセンホマレボシ,オウケンハート
オウケンスターダム,ルーラーシップ,メロウメロディ
オウケンダイヤ,オウケンマジック,オウケンハート
オウケンビリーヴ,クロフネ(USA),ビスクドール
オウケンブライト,クロフネ(USA),クヴァルダ
オウケンブラック,アグネスデジタル(USA),メジロバーミューズ
オウケンムーン,オウケンブルースリ,ムーンフェイズ
オウケンラブ,オウケンマジック,トゥルーラブ
オウケンワールド,クロフネ(USA),オウケンガール
オウシュウソング,フリオーソ,ベティボルテクス
オウノミチ,オレハマッテルゼ,ナゾ
オウマタイム,タイムパラドックス,ケイウンブルーム
オエドノハヤテ,ファスリエフ(USA),マーベラスリリー
オオアナカモ,モンテロッソ(GB),ジーピークロス
オオイニイコウヨ,ファルブラヴ(IRE),マレットベガ
オオイハピネス,ベーカバド(FR),ハローハピネス
オオイリ,ルーラーシップ,パッショナルダンス
オオエピクシー,アドマイヤマックス,ゲイリーピクシー
オオオヤブン,ゴールドヘイロー,スティッチ
オオカリベグット,ソングオブウインド,ワレンダークイン
オオカリベフレアイ,ビービーガルダン,ワレンダークイン
オオシマテティス,ディープブリランテ,オオシマセリーヌ
オオタカ,ジャイアントレッカー(USA),チャームピクチャー
オオヤマネコ,アッミラーレ,プリンセスゴーラン
オカゲサマ,アドマイヤマックス,スイートグラーツ
オガシ,ネオユニヴァース,ジェイケイラン
オカミサン,ハーツクライ,プランシングレディ
オキテスグメシ,アグネスデジタル(USA),ラインクリスタル
オキニメスママ,ストーミングホーム(GB),シルクジュリエット
オキノクィーン,シンボリクリスエス(USA),オキノキセキ
オキノプリマ,サウスヴィグラス(USA),アドマイヤバレー
オクシー,スターリングローズ,ヴィーナスキャット
オクタヴィウス,ゴールドアリュール,オオトリヘプバーン
オクタゴン,バトルプラン(USA),チャームラブ
オグマンテ,ダノンシャンティ,スサーナトウショウ
オクラクオウ,ロッコウオロシ(USA),プリンセスレール
オクラホマ,ケープブランコ(IRE),フラーテイシャスミス(USA)
オグリガール,スマートボーイ,オグリピンキー
オグリグラス,サウスヴィグラス(USA),オグリダイアン
オグリタイム,タイムパラドックス,オグリビーナス
オグリノース,サウスヴィグラス(USA),オグリビーナス
オグリバード,タイムパラドックス,ビューティアイ
オグリランダル,デュランダル,サツキアラシ
オケアノス,プリサイスエンド(USA),オーミチェリッシュ
オコルデヤスシ,スウェプトオーヴァーボード(USA),モントレゾール
オコルミラクル,ファスリエフ(USA),コパノジャーノー
オサキバライ,キングヘイロー,フェスティヴキティ
オシキャット,スクリーンヒーロー,イシブミ
オシノイッテ,フサイチリシャール,コハルカントリー
オジュウチョウサン,ステイゴールド,シャドウシルエット
オジョーノキセキ,キンシャサノキセキ(AUS),キャプテンガール
オスカークイーン,シニスターミニスター(USA),カリビアンセレブ
オスカールビー,ハーツクライ,リキセレナード
オスカーレーヴ,ネオユニヴァース,トゥースペシャル(USA)
オスズ,ローエングリン,ギタートウショウ
オスティナート,スマートファルコン,カシノリボン
オストラコン,ゴールドアリュール,ドリームマイウエイ
オタカラハッケン,オペラハウス(GB),スナークサクセス
オダツ,アジュディミツオー,サンデーシャドウ
オッズオン,カネヒキリ,カメレオン
オッティー,ローレルゲレイロ,アートレインボー
オッドアイ,ロージズインメイ(USA),マイネウインク
オツボネサマ,フォーティナイナーズサン(USA),チルシーカー(USA)
オデュッセイア,ヴィクトワールピサ,ドライアッド
オデュッセウス,ファルブラヴ(IRE),ライツェント
オテンバキッズ,オルフェーヴル,ドメーヌ(CHI)
オテンバランナー,メイショウボーラー,モカサンデー
オトコギ,サウスヴィグラス(USA),プリモスペシャル
オトコギイッポン,キングヘイロー,ビクトリーステップ
オトコギマサムネ,ジャングルポケット,レッドベリル
オトメノスガタ,フリオーソ,メグリ
オドルタロウ,トビーズコーナー(USA),メインロージ
オドロキ,ナカヤマフェスタ,シルキーメイン(IRE)
オニチャン,アグネスデジタル(USA),ナリタジュエリー
オニニカナボー,サムライハート,フェーヴ(USA)
オニノシタブル,ストーミングホーム(GB),マジックミラージュ(IRE)
オニノヘイゾウ,ロージズインメイ(USA),トランスルーセント
オニパンダ,メイショウボーラー,ガイアアーティスト
オネダリ,ショウナンカンプ,ラヴォイラ(FR)
オノリシャス,カネヒキリ,オイスターチケット
オノリス,トーセンホマレボシ,フェリスタス
オノーレペスカ,トーセンホマレボシ,メイショウアルペン
オハナ,ディープインパクト,ハウオリ
オヒアレフア,ワイルドラッシュ(USA),グランマモーゼス
オビシャ,ヴァーミリアン,ワンモアミイチュー
オヒナサマ,カジノドライヴ(USA),バンデリータ
オフィシエ,サムライハート,カレンダーガール
オフクヒメ,キンシャサノキセキ(AUS),シーソング
オフコース,エイシンアポロン(USA),セイカドミノ
オフザウォール,ヴァーミリアン,メイショウフレスコ
オフザロック,ゼンノロブロイ,オフジオールドブロック(USA)
オブセッション,ディープインパクト,パーシステントリー(USA)
オプティカルビート,ディープブリランテ,ピンクトルマリン(USA)
オブラプリーマ,ハーツクライ,オブザーヴァント(USA)
オブリゲーション,アドマイヤマックス,カンシャノキモチ
オプレスバイオ,ディープブリランテ,アマゾネスバイオ
オペラアクター,シニスターミニスター(USA),フォルクスオーパー
オペラカイジン,メイショウボーラー,オペラガール
オペラグローブ(USA),Speightstown(USA),Funny Moon(USA)
オペラサンデー,ローエングリン,ミサトペニー
オペラシーズン,キングズベスト(USA),チェルビム
オペラハット,メイショウサムソン,ボウレジュ
オペレッタスキー,フサイチコンコルド,プラススキー
