

ヤエノグラフ,ロードカナロア,シーカーマ(USA)
ヤエノセンリ,キャプテンスティーヴ(USA),シンコペーション
ヤエノプリーマ,ストラヴィンスキー(USA),コパノカンノン
ヤエノメイク,ブラックタイド,レギンレイヴ
ヤエノラピッド,アッミラーレ,イサミステルス
ヤギリジャスパー,タイキシャトル(USA),ストック
ヤギリベスト,キングズベスト(USA),ソングオブプライズ(USA)
ヤクマンブルース,カネヒキリ,セイウンヒメラギ
ヤクール,ゴールドアリュール,ラベンダーミント
ヤコウレッシャ,バトルプラン(USA),エアファーギー
ヤサカファルコ,シンボリクリスエス(USA),テンザンオトヒメ
ヤサシサ,ジョーカプチーノ,ドキュン
ヤシマスマイル,ネオユニヴァース,サンキュースマイル
ヤスノフェアリー,サウスヴィグラス(USA),シェアオペラ
ヤタガラス,ルールオブロー(USA),インシェーメ
ヤブレガサ,パイロ(USA),ハニービー
ヤマイチアリダー,カコイーシーズ(USA),ブーケドゥフレール
ヤマイチサンライズ,ジャングルポケット,ホクセツクィーン
ヤマイチジャスティ,エンパイアメーカー(USA),ペイドリン(USA)
ヤマイチレジェンド,カネヒキリ,メイケイキララ
ヤマカゲ,フジキセキ,ウィローパドック
ヤマカツアサヒ,ブラックタイド,アオバコリン
ヤマカツエイト,タニノギムレット,ラブポップス
ヤマカツエース,キングカメハメハ,ヤマカツマリリン
ヤマカツキャプテン,ジャングルポケット,ヤマカツオーキッド
ヤマカツグレース,ハービンジャー(GB),ヤマカツマリリン
ヤマカツケンザン,クロフネ(USA),ヤマカツオーキッド
ヤマカツサファイヤ,マンハッタンカフェ,ヤマカツマリリン
ヤマカツサユリ,マンハッタンカフェ,ヤマカツリリー
ヤマカツトップガン,ジャングルポケット,ヤマカツマヤリス
ヤマカツバーバラ,サウスヴィグラス(USA),ヤマカツマヤリス
ヤマカツヒーロー,ヘニーヒューズ(USA),ヤマカツマリリン
ヤマカツポセイドン,アドマイヤボス,サッカータイカン
ヤマカツボーイ,ハーツクライ,ヤマカツマヤリス
ヤマカツライデン,シンボリクリスエス(USA),ヤマカツオーキッド
ヤマカツリーダー,エンパイアメーカー(USA),ヤマカツオーキッド
ヤマクジラ,ヘニーヒューズ(USA),シャドウスプリング
ヤマザクラ,ルーラーシップ,ダブルオベリスク
ヤマサンホワイト,ロジユニヴァース,イシノウォーニング
ヤマジュンビンゴ,ウインクリューガー,ヤマジュンギンガ
ヤマジュンマグマ,ノボジャック(USA),ヤマジュンギンガ
ヤマジュンミクロ,アーネストリー,アドマイヤシズカ
ヤマジュンロッキー,プリサイスエンド(USA),ホリノティアラ
ヤマショウスパーク,バゴ(FR),ビキューナー
ヤマショウダムール,ヒルノダムール,ヘイローマジック
ヤマショウバトル,バトルプラン(USA),デットオアアライブ
ヤマショウプリンス,グラスワンダー(USA),タイキエルドール
ヤマショウラッキー,エンパイアメーカー(USA),ラブポエット
ヤマショウワールド,アッミラーレ,サキノザザ
ヤマタケエヴァル,カネヒキリ,スターコンドル
ヤマタケクッキー,キングヘイロー,ノエラロワイヤル(FR)
ヤマタケジャイアン,ジャイアントレッカー(USA),トシザサンサン
ヤマタケデュック,マンハッタンカフェ,アルシッペ(USA)
ヤマタケバルサ,ストーミングホーム(GB),レディバウンティフル(GB)
ヤマタケパンチ,メイショウボーラー,ナナコフレスコ
ヤマチョウタンゴ,バゴ(FR),エリザベートクロス
ヤマチョウフェア,デュランダル,セイカパンジー
ヤマチョウマグナム,ファスリエフ(USA),マジカルミステリー
ヤマチョウルンバ,ネオユニヴァース,セイカパンジー
ヤマトエンペラー,アサクサデンエン(GB),フジブルーハート
ヤマトカジノ,カジノドライヴ(USA),センターグランタス
ヤマトコスモス,ジャングルポケット,フローリストライフ
ヤマトディオーサ,フィガロ(USA),ディオーサ
ヤマトワイルド,トランセンド,シャインレジーナ
ヤマニンアウォーズ,カジノドライヴ(USA),ヤマニンアルシオン
ヤマニンアタシャン,フレンチデピュティ(USA),ヤマニンパンテール
ヤマニンアドルフォ,タニノギムレット,ヤマニンパンテール
ヤマニンアルテア,グラスワンダー(USA),ヤマニンジャルダン
