

ユアザスター,セイントアレックス(USA),ホシノユメ(IRE)
ユアスイスイ,ダイワメジャー,ケイティーズベスト
ユアネイム,シングンオペラ,イエスプリーズ
ユアマイラブ,キンシャサノキセキ(AUS),デイトユアドリーム
ユアーザワン,ゴールドアリュール,エクシードワン
ユイノシンドバッド,モンテロッソ(GB),マドリガルスコア
ユイノチョッパー,ヘニーヒューズ(USA),アイティアビー
ユイノムテキ,キンシャサノキセキ(AUS),セイウンクレナイ
ユイノルフィ,デュランダル,ウインミネルヴァ(USA)
ユイフィーユ,ディープインパクト,スクービドゥー(GER)
ユイフェンネル,ルーラーシップ,ローズシティ
ユイマール,ネオユニヴァース,チアズヒカリ
ユウキエナージー,オンファイア,ユウキビバ
ユウキシャルマン,ホワイトマズル(GB),ユウキフジサン
ユウキビバワンダー,サクラメガワンダー,ユウキビバ
ユウキファイター,マツリダゴッホ,オースミエルフ
ユウキファイヤー,グラスワンダー(USA),ユウキフジサン
ユウキファイン,バゴ(FR),ユウキフォーティ
ユウキャン,ストロングリターン,ボーシュヴァル
ユウギリジョウ,ネオユニヴァース,イチノヤジョウ
ユウクインスター,ネオユニヴァース,ユウキャラット
ユウクン,ジャイアントレッカー(USA),ウキフネ
ユウコニホレタ,トーセンホマレボシ,ラストミリオン
ユウセイフラッシュ,エイシンフラッシュ,チャイニーズフレア
ユウチェンジ,スウィフトカレント,ユウキャラット
ユウマイオー,アドマイヤジュピタ,ヤマノベーチェル
ユウユウアヴニール,アドマイヤオーラ,サザリー
ユウユウムサシ,サムライハート,ナドラ(IRE)
ユキウサギ,ワイルドラッシュ(USA),ダイワキャンディ
ユキウメ,スターリングローズ,ホットマイハート
ユキエファルコン,サムライハート,ゲイルプリムラ
ユキトウロ,サクラプレジデント,メイフラワー
ユキナ,オウケンブルースリ,バブリングブライド
ユキノアイオロス,サクラプレジデント,ユキノシンデレラ
ユキノアカツキ,ダイワメジャー,イージーラフター(UAE)
ユキノアンビシャス,タイムパラドックス,ユキノレイコ
ユキノヴェルデ,タイキシャトル(USA),ユキノレイコ
ユキノエルドール,アサクサキングス,ユキノシンデレラ
ユキノカトレア,キンシャサノキセキ(AUS),ユキノチャンプ
ユキノクレオパトラ,スターリングローズ,シンセイコンコルド
ユキノサンブライト,ブラックタイド,ユキノシンデレラ
ユキノジャパン,アドマイヤジャパン,ヒカリベルサイユ
ユキノジョー,カネヒキリ,ヒシレーシー
ユキノスライダー,デュランダル,ユキノチャンプ
ユキノタイガ,ハイアーゲーム,タバスコリエ
ユキノディライト,キンシャサノキセキ(AUS),ユキノヴィーナス
ユキノドリーム,スペシャルウィーク,チャームラブ
ユキノバッカス,タニノギムレット,ユキノシンデレラ
ユキノボタン,グラスワンダー(USA),レッドスピリッツ
ユキノマイクイーン,メジロベイリー,ヴェルジネ
ユキノマルガリータ,スズカマンボ,ユキノシンデレラ
ユキノレーヌ,ナカヤマフェスタ,ユキノレイコ
ユッコ,ハーツクライ,キッズスター(USA)
ユッセ,グラスワンダー(USA),ビクトワールイゾレ
ユヅルノオンガエシ,オレハマッテルゼ,ディアン
ユトリチャン,メイショウボーラー,エプソムメサイア
ユナイテッドボス,アドマイヤジャパン,ブルーブロッサム(CAN)
ユナニマス,キングカメハメハ,リーチコンセンサス
ユナリオンス(IRE),Shamardal(USA),Alexander Goldrun(IRE)
ユニオンローズ,ネオユニヴァース,ランブリングローズ
ユニコーンレディ,タイムパラドックス,マチカネホシシロキ
ユニゾンデライト,ドリームジャーニー,マンデーデライト
ユニバーサルキング,スペシャルウィーク,シルクユニバーサル
ユニバーサルライト,ロジユニヴァース,ベストミニオン
ユニバーサルレディ,ロジユニヴァース,コニャックレディ(USA)
ユニフィケーション,ディープインパクト,アドマイヤダンサー
ユニルドール,アイルハヴアナザー(USA),オルティスローザ(USA)
ユニークベニュー,シニスターミニスター(USA),アドマイヤドレス
ユノ,アサクサデンエン(GB),アペレース
ユノエスケープ,スウィフトカレント,ローズヒップティー
ユノカルアミルク,サクラオリオン,ソソノ
ユノスパーダ,アメリカンボス(USA),ディアンムー
ユノディエール,ハービンジャー(GB),ジュピターズジャズ
ユノートルベル,アイルハヴアナザー(USA),トウホクビジン
ユミコノユメ,マーベラスサンデー,キョウワジュテーム(USA)
ユミチャンキック,バトルプラン(USA),マイフェアレディ
ユミハリヅキ,パイロ(USA),スズカエルムス
ユメヲノセテ,ディープブリランテ,アンムート
ユメイチズ,サムライハート,マストゥドウ
ユメオンナ,ブラックタイド,サクラオンハート
ユメキラリ,アドマイヤコジーン,プレイズザミラクル
ユメダンス,シンボリクリスエス(USA),コウユーユメダンス
ユメチャン,スズカマンボ,ギルティーコンシェンス(IRE)
ユメチョキン,カリズマティック(USA),マストゥドウ
ユメノイタダキ,マンハッタンカフェ,ユメノキラメキ
ユメノカガヤキ,タートルボウル(IRE),ロマンダムール
ユメノカクレガ,カネヒキリ,プルザトリガー
ユメノカヨヒヂ,ブラックタイド,キーチェスターバーン(USA)
ユメノサキ,ヴィクトワールピサ,ダルシャ(FR)
ユメノツリー,ブラックタイド,ナンヨーナイト
ユメノトビラ(USA),Bernardini(USA),West Coast Swing(USA)
ユメノヒト,サウスヴィグラス(USA),ベルナデッタ
ユメノマイホーム,ストーミングホーム(GB),ニシノユメヲミセテ
ユメノワケブネ,ロージズインメイ(USA),メイショウハルカゼ
ユメミグサ,アグネスデジタル(USA),ナショナルフラワー
ユメミルチカラ,アドマイヤコジーン,プランデスポワール
ユメユメユメ(IRE),Azamour(IRE),Pattimech(USA)
ユメユリ,アイルハヴアナザー(USA),アルストロメリア
ユラノト,キングカメハメハ,コイウタ
ユリ,トワイニング(USA),パラディフルール
ユリアリーチ,アフリート(CAN),エアボヘミアン
ユリカゴ,メイショウサムソン,ケイエスユリ
ユルギュップ,エイシンデピュティ,エイシンワンシャン
ユンゼイ,ゴールドアリュール,マルティプライ
