

ルア,アグネスデジタル(USA),レットイットスノー
ルアナ,ローズキングダム,チャームラブ
ルアハッピー,タイキシャトル(USA),グレイスフルハート
ルイ(USA),Into Mischief(USA),Tipsy At Midnight(USA)
ルイカズマ,パイロ(USA),グランドホイッスル
ルイサムライ,サムライハート,ノアウイニング
ルヴァンスレーヴ,シンボリクリスエス(USA),マエストラーレ
ルヴェルクッド,スターリングローズ,ロッソペーガゾ
ルヴォワール,ハーツクライ,リュヌドール(FR)
ルエヴェルロール,ステイゴールド,グレイトフィーヴァー(FR)
ルエールダルジャン,キャプテントゥーレ,ビワパシフィカス
ルガノスター,ジャングルポケット,テクニカルラン
ルキナ,グラスワンダー(USA),トーセンキャッスル
ルクスムンディー,カジノドライヴ(USA),アントワープ
ルクナバード,タニノギムレット,ダリーニア(IRE)
ルグランコンデ,ボストンハーバー(USA),ゴールドコンデ(USA)
ルグランパントル,マツリダゴッホ,ザッツザウェイ
ルグランフリソン(USA),Smart Strike(CAN),Leaning Tower(USA)
ルクレツィア,ドリームジャーニー,サンセットムーン
ルクールロゼ,マーベラスサンデー,シゲルヨリツキ
ルコンセール,キンシャサノキセキ(AUS),ソロリサイタル(USA)
ルコンポゼ,パイロ(USA),シャルトリューズ
ルシェルトゥーレ,キャプテントゥーレ,チーフオフィサー２(USA)
ルシェルドール,オルフェーヴル,マイネヒメル
ルシェルブルー,スマートファルコン,シネマライン
ルスカ,キングヘイロー,マサカーネ
ルスデルソル,ワークフォース(GB),サンタフェソレイユ
ルソンデュレーヴ,キングカメハメハ,アコースティクス
ルタンデュボヌール,マンハッタンカフェ,アドマイヤハッピー
ルタンメルヴェイユ,ゴールドアリュール,ドリームモーメント(GB)
ルチアーナミノル,ルーラーシップ,シーザバッドガール(USA)
ルチアーノカフェ,シンボリクリスエス(USA),プレジャーカフェ
ルックアットミー,ストーミングホーム(GB),ドゥービリーヴイン
ルックスグー,メイショウサムソン,メイキングザヘヴン
ルックスザットキル(USA),Wildcat Heir(USA),Carol's Amore
ルックスマート,ヴィクトワールピサ,メイショウセイカ
ルックトゥワイス,ステイゴールド,エスユーエフシー(IRE)
ルックフォワード,スウェプトオーヴァーボード(USA),ネオファンシー
ルッジェーロ,キンシャサノキセキ(AUS),シルヴァーカップ(IRE)
ルッセカッテル,ロイヤルウエスト(IRE),サンデーマイレディ
ルッチカーレ,ダノンシャンティ,キャトルキャール
ルッテル,ブラックタキシード,バルジ
ルデマレ,フリオーソ,ムーンスガタ
ルドベキア,トーセンホマレボシ,サンマルフラワー
ルドルフィーナ,シンボリクリスエス(USA),アメーリア
ルドルフヒーロー(IRE),Canford Cliffs(IRE),Serengeti Day(USA)
ルドロージエ,ロージズインメイ(USA),マイネシャンゼリゼ
ルトンセラン,トーセンラー,コスモスカイライン
ルナステラ,ディープインパクト,ピラミマ(USA)
ルナダイコク,フサイチリシャール,コウユーヒカリママ
ルナティック,クロフネ(USA),ハッピービーチ
ルナディミエーレ,ファルブラヴ(IRE),ハニーハント
ルナフィリア,ノヴェリスト(IRE),ウェディングフジコ
ルナフェスタ,ナカヤマフェスタ,ルナルナ
ルナフォース,ディープブリランテ,ジョイフルスマイル
ルナフラッシュ,キングズベスト(USA),パワフルラリマー
ルナプロスペクター,カンパニー,ムーンフェイズ
ルナマジック,エンパイアメーカー(USA),ヒカルアンクレット
ルナマティーノ,キンシャサノキセキ(AUS),ロザージュ(USA)
ルナミノル,パドトロワ,プリンセスナナミ
ルナーランダー,アドマイヤムーン,タッチ２(USA)
ルナーリンガス,アルデバラン２(USA),リンガスローレル
ルネイション,アドマイヤムーン,パラフレーズ(GB)
ルネッサンスマン,アドマイヤジャパン,ルネッサンスフェア
ルノートル,ダノンシャンティ,ロイヤルマリー(GER)
ルパルク,タートルボウル(IRE),グランパドドゥ
ルピナスメアー,トーセンジョーダン,アイスメアー
ルビーエメラルド,ロージズインメイ(USA),タイキルビー(USA)
ルビーガール,ナカヤマフェスタ,コスモクリスタル
ルビージェニファー,サクラプレジデント,パレスルビー
ルビーロマン,モンテロッソ(GB),センノメグミ
ルファルシオン,チチカステナンゴ(FR),ステラマリス
ルファンタスク,キングヘイロー,キボウ
ルフィアンキック,シンボリクリスエス(USA),アドマイヤシズカ
ルフィーナ,ヴィクトワールピサ,ピンクリップス
ルフォール,キングカメハメハ,レクレドール
ルプス,キングズベスト(USA),ルージュバンブー
ルフレ,エンパイアメーカー(USA),エブリシング
ルベライト,ヘニーヒューズ(USA),ヴェルデライト
ルペールノエル,アドマイヤムーン,サンタママ(USA)
ルミエールウェスト,キングヘイロー,ツジノヒマワリ
ルミエールカフェ,マンハッタンカフェ,ファンシーカフェ
ルミナス,ファンタスティックライト(USA),パヒューメリー(GB)
ルミナスウォリアー,メイショウサムソン,ルミナスハッピー
ルミナスエレメント,ハービンジャー(GB),ルミナスポイント
ルミナスコマンダー,コマンズ(AUS),イブニングアフェア(GB)
ルミナスコースト,ハービンジャー(GB),ルミナスハーバー
ルミナステージ,ローマンエンパイア,ピサノルミナス
ルミナリースピン,キングカメハメハ,オリジナルスピン２(USA)
ルミノアルマース,ダイワメジャー,ブリリアントノバ
ルミノーザ,キングズベスト(USA),フラワーチャンプ
ルミノール,キンシャサノキセキ(AUS),マッキーアリエス
ルミラークル,フジキセキ,ヴィエールソンリ(USA)
ルメイユール,アイルハヴアナザー(USA),ブリュメール
ルラシオン,プリサイスエンド(USA),シーヴェ(USA)
ルリエフ,ストロングリターン,ホウヨウターニング
ルリカラクサ,メイショウボーラー,タイキエリーゼ
ルリジオン,ロードカナロア,フェイドレスシーン
ルリハリ,ダノンシャンティ,コスモランゲル
ルリー,ゼンノロブロイ,ウイントゥルーラヴ
ルルマントウショウ,キングヘイロー,デコトウショウ
ルンタアグサン,カンパニー,プモ
ルンタイメルア,ジョーカプチーノ,オースミブラッシー
ルンタウポポ,ベーカバド(FR),プモ
ルンルンマキシマム,ブラックタイド,ハッピーマキシマム
ルー,ケイムホーム(USA),ブルーチャーム(GER)
ルーヴルヴォイス,ダイワメジャー,ノーアフェアー(USA)
ルーカス,スクリーンヒーロー,メジロフランシス
ルーク,ブラックタイド,エアセイレン
ルージュグラッセ,ロージズインメイ(USA),ミヤジニキータ
ルージュリアン,ロードアルティマ(USA),トロピカルベリーズ
ルーズソックス,キンシャサノキセキ(AUS),マコトホーシュン
ルーズベルトゲーム,ディープインパクト,サプレザ(USA)
ルーセントアイズ,ワークフォース(GB),シャイニンググラス
ルーセントオーデ,スマートファルコン,マチカネキミガタメ
ルーセントゴールド,ゴールドヘイロー,サーチェルルージュ
ルーセントフェアリ,スマートロビン,シナンジュ
ルーセントローズ,ローズキングダム,マキシムパラダイス
ルーチェ,マヤノトップガン,アラブランカ
ルーチェソラーレ,アイルハヴアナザー(USA),サウスティーダ
ルーチェミラコロ,キンシャサノキセキ(AUS),ファストアズライト(USA)
ルーティン,ブレイクランアウト(USA),オノユウ
ルートディレクトリ,タートルボウル(IRE),クリッピングエリア
ルーナクレシェンテ,タニノギムレット,クレヨンルージュ
ルーナセレナータ,トーセンラー,ムーンライトソナタ
ルーナディア,ゼンノロブロイ,ルナースフィア
ルーナデラセーラー,ハーツクライ,フォーマルハウト
ルーファス,ゴールドアリュール,アドマイヤレッド
ループドライブ,タニノギムレット,プラチナループ
ルーモス,ハーツクライ,マジックポーション２(IRE)
ルーラルライン,スズカマンボ,ノットローズハート
ルーラーキング,ルーラーシップ,ハッピーラベンダー
ルールオブグレイス,タートルボウル(IRE),エレガントマナー
ルールゴールド,ルールオブロー(USA),カコ
ルールソヴァール,フレンチデピュティ(USA),キョウエイトルース
ルールダーマ,ヴィクトワールピサ,アマートベン
ルーレットクイーン,ドリームジャーニー,ペレブラッサム
ルーレットスピナー,カジノドライヴ(USA),テイクワンズアイ
