horse_name,evaluation,venue,race_name,horse_heads,horse_number,popularity,jockey,jockey_winning_percentage,distance,horse_weight,horse_weight_diff,winning_percentage,order
アイアンクロー,3.50,5阪神6,朝日フューチュリティ(G1),16,13,16,酒井学,18.267831,1600,436,+8,50.000000,0
アイアンクロー,3.50,2小倉12,小倉2歳S(G3),18,14,5,浜中俊,38.606307,1200,430,+4,50.000000,1
アイオシルケン,0.00,5京都8,ラジオN杯京都2歳S(G3),8,8,7,和田竜二,29.361399,2000,464,0,26.315789,0
アイトーン,0.00,5京都7,ラジオN杯京都2歳S(G3),9,4,7,国分恭介,19.303797,2000,474,-6,50.000000,0
アイファープリティ,0.00,2阪神1,毎日杯(G3),10,7,8,池添謙一,29.917250,1800,434,+4,40.000000,0
アイライン,3.33,2東京7,京王杯スプリングC(G2),16,14,11,吉田豊,22.889417,1400,444,-4,35.714286,0
アイライン,3.33,2阪神5,サンスポ杯阪神牝馬S(G2),13,5,11,松山弘平,27.070347,1600,448,+6,35.714286,0
アイライン,3.33,門別,エーデルワイス賞〔J(G3),16,13,13,水野翔,26.295337,1200,440,-2,35.714286,0
アウェイク,3.92,2東京10,優駿牝馬(G1),18,2,13,吉田豊,22.889417,2400,458,+6,33.333333,0
アウェイク,3.92,2東京2,サンスポ賞フローラS(G2),18,6,13,吉田豊,22.889417,2000,452,-2,33.333333,1
アウォーディー,3.84,1東京8,フェブラリーS(G1),16,4,7,武豊,41.235154,1600,516,+2,61.538462,0
アウォーディー,3.84,川崎,川崎記念【指定交流】(G1),10,3,3,武豊,41.235154,2100,514,+6,61.538462,1
アウォーディー,3.84,4中京2,チャンピオンズC(G1),15,11,4,武豊,41.235154,1800,508,+4,61.538462,0
アウォーディー,3.84,大井,JBCクラシック競走(G1),13,1,1,武豊,41.235154,2000,504,-7,61.538462,0
アウォーディー,3.84,大井,帝王賞競走(G1),16,2,1,武豊,41.235154,2000,511,0,61.538462,1
アウォーディー,3.84,大井,東京大賞典競走(G1),14,8,1,武豊,41.235154,2000,511,-3,61.538462,1
アウォーディー,3.84,4中京2,チャンピオンズC(G1),15,2,1,武豊,41.235154,1800,514,+10,61.538462,1
アウォーディー,3.84,川崎,JBCクラシック(G1),14,9,2,武豊,41.235154,2100,504,-6,61.538462,1
アウォーディー,3.84,船橋,日本テレビ盃(G2),13,10,1,武豊,41.235154,1800,510,+4,61.538462,1
アウォーディー,3.84,2阪神7,アンタレスS(G3),16,9,1,武豊,41.235154,1800,506,+4,61.538462,1
アウォーディー,3.84,名古屋,名古屋大賞典(G3),12,2,1,武豊,41.235154,1900,502,-6,61.538462,1
アウォーディー,3.84,4阪神8,シリウスS(G3),12,2,3,武豊,41.235154,2000,508,+8,61.538462,1
アウォーディー,3.84,2東京12,目黒記念(G2),16,11,2,横山典弘,33.800127,2500,506,+8,61.538462,0
アウォーディー,3.84,2東京3,テレビ東京杯青葉賞(G2),18,13,10,松山弘平,27.070347,2400,500,+8,61.538462,0
アウトライアーズ,3.73,1中山1,日刊スポ賞中山金杯(G3),17,4,7,蛯名正義,31.335283,2000,506,+2,55.555556,0
アウトライアーズ,3.73,2東京6,NHKマイルC(G1),18,3,4,田辺裕信,34.758364,1600,480,0,55.555556,0
アウトライアーズ,3.73,3中山8,皐月賞(G1),18,6,7,田辺裕信,34.758364,2000,480,-2,55.555556,0
アウトライアーズ,3.73,2中山7,フジTVスプリングS(G2),11,8,2,田辺裕信,34.758364,1800,482,0,55.555556,1
アヴニールマルシェ,3.93,2新潟12,新潟記念(G3),18,17,4,北村宏司,29.532006,2000,502,+14,37.500000,0
アヴニールマルシェ,3.93,2東京6,NHKマイルC(G1),18,1,5,北村宏司,29.532006,1600,488,-4,37.500000,0
アヴニールマルシェ,3.93,1東京6,共同通信杯(G3),12,3,2,北村宏司,29.532006,1800,492,-6,37.500000,0
アヴニールマルシェ,3.93,5東京7,東京スポーツ杯2歳S(G3),13,2,1,北村宏司,29.532006,1800,498,+4,37.500000,1
アヴニールマルシェ,3.93,2新潟10,新潟2歳S(G3),18,7,1,北村宏司,29.532006,1600,494,+6,37.500000,1
アウヤンテプイ,3.00,門別,北海道スプリントカッ(G3),16,5,5,石川倭,42.171344,1200,504,0,66.071429,0
アウヤンテプイ,3.00,門別,北海道スプリントカッ(G3),13,4,5,石川倭,42.171344,1200,506,+2,66.071429,0
アウヤンテプイ,3.00,1札幌6,エルムS(G3),13,7,13,宮崎光行,46.558704,1700,494,-6,66.071429,0
アウヤンテプイ,3.00,門別,北海道スプリントカッ(G3),14,10,4,宮崎光行,46.558704,1200,508,0,66.071429,0
アウヤンテプイ,3.00,門別,北海道スプリントカッ(G3),14,11,6,宮崎光行,46.558704,1200,500,+4,66.071429,0
アウヤンテプイ,3.00,門別,北海道スプリントカッ(G3),14,5,5,井上俊彦,39.197267,1200,488,-6,66.071429,0
アウヤンテプイ,3.00,5京都3,デイリー杯2歳S(G2),12,4,11,尾島徹,53.289474,1600,458,+8,66.071429,0
アエロリット,3.91,2中山2,中山記念(G2),10,10,5,横山典弘,33.800127,1800,504,+18,77.777778,1
アエロリット,3.91,4京都5,秋華賞(G1),18,1,1,横山典弘,33.800127,2000,486,-10,77.777778,0
アエロリット,3.91,1札幌2,クイーンS(G3),13,2,2,横山典弘,33.800127,1800,496,+18,77.777778,1
アエロリット,3.91,2東京6,NHKマイルC(G1),18,16,2,横山典弘,33.800127,1600,478,-2,77.777778,1
アエロリット,3.91,2阪神6,桜花賞(G1),17,12,6,横山典弘,33.800127,1600,480,-6,77.777778,0
アエロリット,3.91,1東京5,デイリー杯クイーンC(G3),16,11,5,横山典弘,33.800127,1600,486,-6,77.777778,1
アエロリット,3.91,1中山3,フェアリーS(G3),16,3,1,横山典弘,33.800127,1600,492,+10,77.777778,1
アオアラシ,0.00,5京都1,KBSファンタジーS(G3),12,3,10,松田大作,22.615220,1400,440,0,9.090909,0
アオイサンシャイン,2.00,2中山8,フラワーC(G3),16,4,7,池添謙一,29.917250,1800,502,-8,55.555556,0
アオイプリンセス,0.00,2中山8,フラワーC(G3),16,13,11,三浦皇成,29.865125,1800,432,-10,53.333333,0
アカカ,3.30,1阪神6,フィリーズレビュー(G2),18,17,16,松若風馬,23.716814,1400,476,-4,20.000000,0
アキトクレッセント,2.05,1東京2,根岸S(G3),13,2,4,荻野極,21.384929,1400,510,+4,47.368421,0
アキトクレッセント,2.05,5東京3,東京中日S杯武蔵野S(G3),16,7,15,荻野極,21.384929,1600,502,-4,47.368421,1
アキトクレッセント,2.05,3中京4,プロキオンS(G3),15,4,2,荻野極,21.384929,1400,502,+10,47.368421,0
アキトクレッセント,2.05,園田,兵庫ゴールドトロフィ(G3),11,8,2,武豊,41.235154,1400,497,+7,47.368421,0
アキトクレッセント,2.05,3東京6,ユニコーンS(G3),16,4,4,浜中俊,38.606307,1600,490,0,47.368421,0
アキノクリンチ,0.00,1阪神6,フィリーズレビュー(G2),16,4,16,川須栄彦,20.408163,1400,444,-2,19.230769,0
アクションスター,3.50,2中京2,金鯱賞(G2),9,8,9,太宰啓介,18.014184,2000,476,-4,16.279070,0
アクションスター,3.50,2京都6,京都記念(G2),10,8,10,太宰啓介,18.014184,2200,480,0,16.279070,0
アクションスター,3.50,1京都5,日経新春杯(G2),12,6,11,太宰啓介,18.014184,2400,480,+10,16.279070,0
アクションスター,3.50,4京都3,京都大賞典(G2),15,9,15,松若風馬,23.716814,2400,470,0,16.279070,0
アクションスター,3.50,3京都2,読売マイラーズC(G2),11,2,10,佐藤友則,49.223803,1600,472,0,16.279070,0
